station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,converted_last_reported
1,22,1,1,12,0,t,t,t,1682692945,2023-04-28 10:42:25
2,8,0,0,11,0,t,t,t,1682692613,2023-04-28 10:36:53
3,0,0,0,3,0,f,f,t,1669023452,2022-11-21 04:37:32
4,16,0,1,6,0,t,t,t,1682691007,2023-04-28 10:10:07
5,2,0,0,17,0,t,t,t,1682692518,2023-04-28 10:35:18
6,0,0,0,11,0,f,f,t,1668765195,2022-11-18 04:53:15
7,7,1,1,23,0,t,t,t,1682693067,2023-04-28 10:44:27
8,14,0,0,33,0,t,t,t,1682693351,2023-04-28 10:49:11
9,7,3,1,14,1,t,t,t,1682693275,2023-04-28 10:47:55
10,4,1,0,11,0,t,t,t,1682691132,2023-04-28 10:12:12
11,0,0,0,3,0,f,f,t,1669369070,2022-11-25 04:37:50
12,0,0,0,3,0,f,f,t,1669022548,2022-11-21 04:22:28
13,16,1,0,15,0,t,t,t,1682693263,2023-04-28 10:47:43
14,20,4,1,22,0,t,t,t,1682693386,2023-04-28 10:49:46
15,14,4,0,12,0,t,t,t,1682692575,2023-04-28 10:36:15
16,23,1,0,4,0,t,t,t,1682693110,2023-04-28 10:45:10
17,14,0,0,17,0,t,t,t,1682693275,2023-04-28 10:47:55
18,1,0,1,17,0,t,t,t,1682693279,2023-04-28 10:47:59
19,23,0,0,4,0,t,t,t,1682693110,2023-04-28 10:45:10
20,0,0,0,3,0,f,f,t,1669022247,2022-11-21 04:17:27
21,19,1,0,8,0,t,t,t,1682693391,2023-04-28 10:49:51
22,16,4,2,33,0,t,t,t,1682693278,2023-04-28 10:47:58
23,10,1,1,12,0,t,t,t,1682691285,2023-04-28 10:14:45
24,2,0,5,7,1,t,t,t,1682693286,2023-04-28 10:48:06
25,9,1,0,72,0,t,t,t,1682693371,2023-04-28 10:49:31
26,13,2,2,12,0,t,t,t,1682693336,2023-04-28 10:48:56
28,12,1,0,7,0,t,t,t,1682691079,2023-04-28 10:11:19
30,9,2,0,9,0,t,t,t,1682690665,2023-04-28 10:04:25
31,4,0,1,24,0,t,t,t,1682693389,2023-04-28 10:49:49
34,6,2,0,28,0,t,t,t,1682691929,2023-04-28 10:25:29
35,7,1,4,32,0,t,t,t,1682693375,2023-04-28 10:49:35
36,14,3,0,9,0,t,t,t,1682693277,2023-04-28 10:47:57
37,12,2,0,7,0,t,t,t,1682692123,2023-04-28 10:28:43
38,22,2,1,0,0,t,t,t,1682691200,2023-04-28 10:13:20
39,13,2,1,9,0,t,t,t,1682691502,2023-04-28 10:18:22
40,22,4,0,9,0,t,t,t,1682692941,2023-04-28 10:42:21
41,5,0,0,22,0,t,t,t,1682693012,2023-04-28 10:43:32
42,9,7,0,10,0,t,t,t,1682692995,2023-04-28 10:43:15
43,6,1,1,16,0,t,t,t,1682692669,2023-04-28 10:37:49
45,13,0,0,17,1,t,t,t,1682693089,2023-04-28 10:44:49
46,7,1,0,20,0,t,t,t,1682693112,2023-04-28 10:45:12
47,11,0,0,8,0,t,t,t,1682692962,2023-04-28 10:42:42
48,24,1,0,23,0,t,t,t,1682693216,2023-04-28 10:46:56
49,0,0,0,7,0,f,t,t,1667225732,2022-10-31 10:15:32
50,4,0,0,15,0,t,t,t,1682692963,2023-04-28 10:42:43
51,26,1,0,44,0,t,t,t,1682693295,2023-04-28 10:48:15
52,17,10,2,8,0,t,t,t,1682693390,2023-04-28 10:49:50
55,16,4,0,10,0,t,t,t,1682693127,2023-04-28 10:45:27
56,7,3,0,28,0,t,t,t,1682692237,2023-04-28 10:30:37
57,27,5,1,11,0,t,t,t,1682692584,2023-04-28 10:36:24
58,4,1,0,29,0,t,t,t,1682693389,2023-04-28 10:49:49
59,25,7,0,2,0,t,t,t,1682693279,2023-04-28 10:47:59
60,28,1,0,3,0,t,t,t,1682691865,2023-04-28 10:24:25
61,8,0,1,38,0,t,t,t,1682692930,2023-04-28 10:42:10
62,33,8,0,16,0,t,t,t,1682693264,2023-04-28 10:47:44
63,13,0,0,6,0,t,t,t,1682692225,2023-04-28 10:30:25
64,2,0,0,17,0,t,t,t,1682693003,2023-04-28 10:43:23
65,17,6,0,6,0,t,t,t,1682687065,2023-04-28 09:04:25
67,15,3,2,22,0,t,t,t,1682693354,2023-04-28 10:49:14
68,23,3,1,13,0,t,t,t,1682692319,2023-04-28 10:31:59
69,1,0,0,14,0,t,t,t,1682692627,2023-04-28 10:37:07
71,15,3,0,12,0,t,t,t,1682693180,2023-04-28 10:46:20
72,13,3,2,16,0,t,t,t,1682693280,2023-04-28 10:48:00
73,6,0,1,24,0,t,t,t,1682693235,2023-04-28 10:47:15
74,6,0,1,12,0,t,t,t,1682692052,2023-04-28 10:27:32
75,9,4,1,29,0,t,t,t,1682692811,2023-04-28 10:40:11
76,0,0,0,3,0,f,f,t,1669368165,2022-11-25 04:22:45
77,9,0,2,36,0,t,t,t,1682693252,2023-04-28 10:47:32
78,19,3,0,4,0,t,t,t,1682693105,2023-04-28 10:45:05
79,9,1,0,8,0,t,t,t,1682692882,2023-04-28 10:41:22
80,11,0,0,7,1,t,t,t,1682693352,2023-04-28 10:49:12
81,16,1,1,14,0,t,t,t,1682692719,2023-04-28 10:38:39
82,23,10,0,4,0,t,t,t,1682693335,2023-04-28 10:48:55
83,11,6,0,24,0,t,t,t,1682692952,2023-04-28 10:42:32
84,7,2,2,18,0,t,t,t,1682693337,2023-04-28 10:48:57
85,11,0,0,12,0,t,t,t,1682692819,2023-04-28 10:40:19
86,16,1,1,6,0,t,t,t,1682693361,2023-04-28 10:49:21
87,13,0,0,6,0,t,t,t,1682693065,2023-04-28 10:44:25
88,5,0,0,34,0,t,t,t,1682693242,2023-04-28 10:47:22
89,17,6,0,22,0,t,t,t,1682693075,2023-04-28 10:44:35
90,2,2,0,24,0,t,t,t,1682693358,2023-04-28 10:49:18
91,13,0,0,2,0,t,t,t,1682690861,2023-04-28 10:07:41
92,13,1,0,10,0,t,t,t,1682692700,2023-04-28 10:38:20
93,0,0,0,4,0,f,f,t,1669369070,2022-11-25 04:37:50
94,5,1,0,14,0,t,t,t,1682692616,2023-04-28 10:36:56
